id,count,avg_rating,avg_weighted_rating,popular_lens,popular_lens_count,best_photo_rating,best_photo_num_ratings,best_photo_catalog_number,best_photo_bird,best_photo_photographer,best_photo_year,best_photo_link,brand,name,cost,megapixels
Nikon D80,1,5.0,2.18,,,5.0,25,83211011,Indian Roller,Peter Arras,2018,https://macaulaylibrary.org/asset/83211011,Nikon,D80,100.0,10.2
Nikon COOLPIX P520,1,4.55,1.91,,,4.55,22,522362541,Brazilian Teal,Nazareno Yunes Del Carlo,2023,https://macaulaylibrary.org/asset/522362541,Nikon,COOLPIX P520,300.0,18.1
Nikon COOLPIX B500,1,4.62,2.67,,,4.62,73,228016451,Snowy Egret,Nicolás Bejarano,2020,https://macaulaylibrary.org/asset/228016451,Nikon,COOLPIX B500,200.0,16.0
Nikon COOLPIX B600,1,4.57,2.2,,,4.57,35,473492761,Oriental Magpie-Robin,JISHNU  K,2022,https://macaulaylibrary.org/asset/473492761,Nikon,COOLPIX B600,200.0,16.0
Panasonic Lumix DMC-FZ72,1,4.59,1.93,,,4.59,22,145005421,Quail-plover,Barry Reed,2019,https://macaulaylibrary.org/asset/145005421,Panasonic,Lumix DMC-FZ72,200.0,16.1
Canon EOS 50D,1,4.61,2.18,,,4.61,33,374138201,Eurasian Curlew,Grzegorz Burkowski,2021,https://macaulaylibrary.org/asset/374138201,Canon,EOS 50D,150.0,15.1
Canon PowerShot SX720 HS,1,4.61,1.96,,,4.61,23,430560871,Gray-necked Rockfowl,Alexis Lamek,2022,https://macaulaylibrary.org/asset/430560871,Canon,PowerShot SX720 HS,500.0,20.3
Nikon D200,1,4.64,2.25,300.0-800.0 mm f/5.6,1.0,4.64,36,90843741,Eurasian Eagle-Owl,Don de la Rambelje,2015,https://macaulaylibrary.org/asset/90843741,Nikon,D200,100.0,10.2
Samsung Galaxy S10+,1,4.82,2.71,,,4.82,65,377376071,Horned Lark,Leo Bix,2021,https://macaulaylibrary.org/asset/377376071,Samsung,Galaxy S10+,400.0,16.0
Panasonic Lumix DC-FZ1000 II,1,4.79,2.16,,,4.79,28,264773131,Buller's Albatross,Ray Turnbull,2020,https://macaulaylibrary.org/asset/264773131,Panasonic,Lumix DC-FZ1000 II,700.0,20.1
Sony Cyber-shot DSC-HX350,1,4.81,2.15,4.3-215mm f/2.8-6.3,1.0,4.81,27,250664841,Australian Pipit,Richard Murray,2020,https://macaulaylibrary.org/asset/250664841,Sony,Cyber-shot DSC-HX350,50.0,20.4
Panasonic Lumix DC-FZ80,1,4.91,2.09,,,4.91,23,281288811,Antioquia Brushfinch,Ramón David Ruiz Correa (@rada.birding),2020,https://macaulaylibrary.org/asset/281288811,Panasonic,Lumix DC-FZ80,400.0,18.1
Panasonic Lumix DC-GX9,1,4.9,2.26,,,4.9,30,548228531,Red-billed Oxpecker,Thomas Mourez,2023,https://macaulaylibrary.org/asset/548228531,Panasonic,Lumix DC-GX9,1000.0,20.3
Sony Alpha 7S III,1,4.9,2.26,FE 200-600mm F5.6-6.3 G OSS,1.0,4.9,30,553869731,Egyptian Vulture,Peter Alexander,2023,https://macaulaylibrary.org/asset/553869731,Sony,Alpha 7S III,3000.0,12.1
Nikon D5000,1,4.92,2.83,200.0-500.0 mm f/5.6,1.0,4.92,72,476318851,Wilson's Phalarope,Mason Currier,2022,https://macaulaylibrary.org/asset/476318851,Nikon,D5000,200.0,12.3
Pentax K-5,1,4.89,2.74,smc PENTAX-DA* 300mm F4 ED [IF] SDM,1.0,4.89,64,174956181,Bank Swallow,François Martin,2019,https://macaulaylibrary.org/asset/174956181,Pentax,K-5,300.0,16.3
Panasonic Lumix DMC-FZ60,1,4.89,2.18,,,4.89,27,88369151,South American Painted-Snipe,Martín Toledo,2018,https://macaulaylibrary.org/asset/88369151,Panasonic,Lumix DMC-FZ60,100.0,16.1
Nikon D6,1,4.93,2.81,AF-S NIKKOR 500mm f/5.6E PF ED VR,1.0,4.93,69,388787481,White-eyed Vireo,Jian Mei,2021,https://macaulaylibrary.org/asset/388787481,Nikon,D6,6500.0,20.8
Panasonic Lumix DMC-G7,1,4.89,2.65,,,4.89,56,281601621,Lesser Kestrel,Ellen Askum,2017,https://macaulaylibrary.org/asset/281601621,Panasonic,Lumix DMC-G7,500.0,16.0
Nikon D780,1,4.94,2.36,VR 150-600mm f/5-6.3G,1.0,4.94,34,610044517,Burrowing Owl,Marla Hibbitts,2023,https://macaulaylibrary.org/asset/610044517,Nikon,D780,2300.0,24.5
Sony Alpha 6100,1,4.88,2.16,FE 200-600mm F5.6-6.3 G OSS,1.0,4.88,26,468916451,Vigors's Sunbird,Sujit Nair,2021,https://macaulaylibrary.org/asset/468916451,Sony,Alpha 6100,750.0,24.2
Olympus OM-D E-M1,1,4.87,2.26,M.300mm F4.0 + MC-14,1.0,4.87,31,90919521,Forest Kingfisher,David Boyle,2018,https://macaulaylibrary.org/asset/90919521,Olympus,OM-D E-M1,300.0,16.3
Fujifilm FinePix S1,1,4.87,2.63,,,4.87,55,233312091,Audouin's Gull,D HARVEY,2015,https://macaulaylibrary.org/asset/233312091,Fujifilm,FinePix S1,300.0,16.4
Canon EOS M5,1,4.87,3.25,EF100-400mm f/4.5-5.6L IS USM,1.0,4.87,143,314932301,Northern Saw-whet Owl,Nathan Wall,2021,https://macaulaylibrary.org/asset/314932301,Canon,EOS M5,500.0,24.2
Panasonic Lumix DC-GH5,1,4.86,2.45,LEICA DG 100-400/F4.0-6.3,1.0,4.86,42,400194881,Black Rosy-Finch,Aidan Lorenz,2021,https://macaulaylibrary.org/asset/400194881,Panasonic,Lumix DC-GH5,200.0,20.3
Apple iPhone XR,1,4.86,3.05,iPhone XR back camera 4.25mm f/1.8,1.0,4.86,106,191330931,Ross's Gull,Ryan Merrill,2019,https://macaulaylibrary.org/asset/191330931,Apple,iPhone XR,150.0,12.0
Nikon D3,1,4.86,3.75,300.0 mm f/4.0,1.0,4.86,314,318547341,Great Horned Owl,Nathalie Talbot,2021,https://macaulaylibrary.org/asset/318547341,Nikon,D3,500.0,12.1
Apple iPhone 15 Pro,1,4.86,2.85,iPhone 15 Pro back triple camera 2.22mm f/2.2,1.0,4.86,78,613671574,Yellow-crested Helmetshrike,Matt Brady,2023,https://macaulaylibrary.org/asset/613671574,Apple,iPhone 15 Pro,600.0,48.0
Sony Alpha 7R IIIa,1,4.85,1.98,150-600mm F5-6.3 DG DN OS | Sports 021,1.0,4.85,20,625717957,Eurasian Woodcock,Levent Uysal,2024,https://macaulaylibrary.org/asset/625717957,Sony,Alpha 7R IIIa,1500.0,42.4
Sony Cyber-shot DSC-RX100 VII,1,4.97,2.31,9-72mm f/2.8-4.5,1.0,4.97,31,625836350,Chinstrap Penguin,Mark Whiffin,2023,https://macaulaylibrary.org/asset/625836350,Sony,Cyber-shot DSC-RX100 VII,1200.0,20.1
Sony Alpha SLT-A58,1,4.84,2.65,----,1.0,4.84,58,250248191,Straw-necked Ibis,Sara Young,2020,https://macaulaylibrary.org/asset/250248191,Sony,Alpha SLT-A58,300.0,20.1
Panasonic Lumix DMC-GH3,1,4.84,2.54,,,4.84,49,38252891,Fish Crow,Paul Tavares,2015,https://macaulaylibrary.org/asset/38252891,Panasonic,Lumix DMC-GH3,300.0,16.1
Canon PowerShot SX530 HS,1,4.84,2.65,,,4.84,58,475324131,Long-tailed Meadowlark,Alasco López,2022,https://macaulaylibrary.org/asset/475324131,Canon,PowerShot SX530 HS,250.0,16.0
Sony Cyber-shot DSC-HX100V,1,4.84,2.11,4.8-144mm f/2.8-5.6,1.0,4.84,25,60801041,Piapiac,Catherine McFadden,2017,https://macaulaylibrary.org/asset/60801041,Sony,Cyber-shot DSC-HX100V,200.0,16.2
Pentax K-3 II,1,4.83,3.74,smc PENTAX-DA* 300mm F4 ED [IF] SDM,1.0,4.83,323,80930791,Red-tailed Hawk (abieticola),Vincent Fyson,2018,https://macaulaylibrary.org/asset/80930791,Pentax,K-3 II,700.0,24.3
Canon EOS Rebel T6s,1,4.98,2.75,EF400mm f/5.6L USM,1.0,4.98,60,312139561,Boreal Owl,Neil Denton,2021,https://macaulaylibrary.org/asset/312139561,Canon,EOS Rebel T6s,650.0,24.2
Apple iPhone 12 Pro,1,4.82,2.73,iPhone 12 Pro back triple camera 6mm f/2,1.0,4.82,67,595634481,Muscovy Duck (Domestic type),Christine Zamora,2023,https://macaulaylibrary.org/asset/595634481,Apple,iPhone 12 Pro,500.0,12.0
Panasonic Lumix DMC-FZ2500,1,4.91,4.3,,,4.91,686,44144231,Allen's Hummingbird,Robert Hamilton,2016,https://macaulaylibrary.org/asset/44144231,Panasonic,Lumix DMC-FZ2500,600.0,20.1
Olympus OM-1 Mark II,1,4.82,2.03,OLYMPUS M.300mm F4.0,1.0,4.82,22,618971551,Multicolored Tanager,Richard Thunen,2024,https://macaulaylibrary.org/asset/618971551,Olympus,OM-1 Mark II,500.0,20.4
Canon EOS 350D,1,4.82,2.03,,,4.82,22,60622081,Somali Ostrich,David Orth-Moore,2015,https://macaulaylibrary.org/asset/60622081,Canon,EOS 350D,25.0,8.0
Apple iPhone 12,1,4.26,2.25,iPhone 12 back dual wide camera 4.2mm f/1.6,1.0,4.26,50,549100221,Great Gray Shrike,Simon Bernard,2023,https://macaulaylibrary.org/asset/549100221,Apple,iPhone 12,200.0,12.0
