catalog_number,model,lens,iso,focal_length,flash,f-stop,shutter_speed,dimensions,original_file_size,recorder,microphone,accessories,camera,common_name,scientific_name,photographer,date,year,rating,num_ratings,location,normalized_rating
84570561,DMC-FZ300,,100,108 mm,"Flash did not fire, auto",f/2.8,1/500 sec,2270 pixels x 1703 pixels,1.24 MB,,,,,Eastern Meadowlark,Sturnella magna,Shelley Rutkin,2018-01-29,2018,4.89,87,North America,4.89
613304060,NIKON D500,200.0-500.0 mm f/5.6,1250,210 mm,Flash did not fire,f/5.6,1/320 sec,5568 pixels x 3712 pixels,10.82 MB,,,,,Southern Cassowary,Casuarius casuarius,Paul Kessler,2024-01-09,2024,4.89,108,Australia,4.89
608794732,DMC-FZ300,,100,108 mm,Flash did not fire,f/3.2,1/125 sec,3315 pixels x 2215 pixels,2.78 MB,,,,,Gray-cheeked Thrush,Catharus minimus,Cathy Brown,2023-09-13,2023,4.89,66,North America,4.89
614541330,ILCE-9,FE 200-600mm F5.6-6.3 G OSS,4000,600 mm,Flash did not fire,f/6.3,1/200 sec,3730 pixels x 2487 pixels,2.14 MB,,,,,Northern Saw-whet Owl,Aegolius acadicus,Matt Hoberg,2024-02-06,2024,4.89,44,North America,4.89
137807111,ILCE-7M3,,400,800 mm,"Flash did not fire, auto",f/5.6,1/1000 sec,2589 pixels x 2071 pixels,2.89 MB,,,,,Brown-winged Kingfisher,Pelargopsis amauroptera,Ajit Hota,2019-01-22,2019,4.89,37,Asia,4.89
414036311,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,800,500 mm,Flash did not fire,f/7.1,1/400 sec,4325 pixels x 2883 pixels,5.65 MB,,,,,Canyon Wren,Catherpes mexicanus,Loni Ye,2022-02-05,2022,4.89,91,North America,4.89
206189241,Canon EOS 7D Mark II,150-600mm,640,600 mm,"Flash did not fire, auto",f/9.0,1/2000 sec,1024 pixels x 780 pixels,381.32 KB,,,,,Alpine Swift,Tachymarptis melba,Lior Kislev,2015-06-12,2015,4.89,36,Asia,4.89
624670533,ILCE-7RM5,FE 200-600mm F5.6-6.3 G OSS,12800,600 mm,Flash did not fire,f/6.3,1/640 sec,3107 pixels x 2071 pixels,4.61 MB,,,,,Winter Wren,Troglodytes hiemalis,Phillip Stosberg,2024-10-07,2024,4.89,36,North America,4.89
85017591,Canon EOS 5D Mark IV,EF500mm f/4L IS USM +1.4x,1600,700 mm,"Flash did not fire, auto",f/7.1,1/1000 sec,3704 pixels x 2469 pixels,4.14 MB,,,,,Horned Lark,Eremophila alpestris,Bruce Van Valen,2018-02-06,2018,4.89,64,North America,4.89
210914291,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,400,263 mm,"Flash did not fire, auto",f/5.0,1/500 sec,2345 pixels x 1564 pixels,1.33 MB,,,,,Baikal Teal,Sibirionetta formosa,yang yi hsien,2020-02-22,2020,4.89,28,Asia,4.89
90079171,NIKON D3200,,1100,400 mm,"Flash did not fire, auto",f/6.0,1/500 sec,4343 pixels x 2888 pixels,7.77 MB,,,,,European Goldfinch,Carduelis carduelis,James Taylor,2018-03-17,2018,4.89,62,Europe,4.89
342563391,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,400,400 mm,Flash did not fire,f/6.3,1/800 sec,5263 pixels x 3158 pixels,2.23 MB,,,,,Scissor-tailed Flycatcher,Tyrannus forficatus,Aaron Boone,2021-05-26,2021,4.89,90,North America,4.89
282072341,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,640,400 mm,Flash did not fire,f/8.0,1/1600 sec,1910 pixels x 1273 pixels,267.19 KB,,,,,Mountain Bluebird,Sialia currucoides,Jeff Bray,2020-11-22,2020,4.89,93,North America,4.89
