catalog_number,model,lens,iso,focal_length,flash,f-stop,shutter_speed,dimensions,original_file_size,recorder,microphone,accessories,camera,common_name,scientific_name,photographer,date,year,rating,num_ratings,location
611799393,Canon EOS R7,RF100-500mm F4.5-7.1 L IS USM,3200,363 mm,Flash did not fire,f/7.1,1/1250 sec,6536 pixels x 4357 pixels,19.14 MB,,,,,American Bittern,Botaurus lentiginosus,Mikey  Lutmerding,2023-12-02,2023,4.9,182,North America
511732101,ILCE-7M3,FE 200-600mm F5.6-6.3 G OSS,2000,582 mm,Flash did not fire,f/11.0,1/500 sec,3401 pixels x 2267 pixels,2.88 MB,,,,,European Robin,Erithacus rubecula,John  Bursnall,2022-12-10,2022,4.9,21,Europe
407585271,COOLPIX P1000,,200,503 mm,Flash did not fire,f/8.0,1/500 sec,4608 pixels x 3456 pixels,702.62 KB,,,,,House Bunting,Emberiza sahari,ANDRÉS SERRANO LAVADO,2022-01-19,2022,4.9,29,Europe
401980111,Canon EOS 7D Mark II,EF400mm f/5.6L USM,400,400 mm,Flash did not fire,f/5.6,1/2000 sec,1500 pixels x 1032 pixels,783.97 KB,,,,,White-headed Duck,Oxyura leucocephala,José A. Campos,2022-01-03,2022,4.9,21,Europe
124684111,Canon EOS 7D Mark II,EF600mm f/4L IS II USM,,,,,,2275 pixels x 3413 pixels,4.36 MB,,,,,Crested Treeswift,Hemiprocne coronata,Melvin Jaison,2017-05-08,2017,4.9,60,Asia
467371931,ILCE-9,FE 200-600mm F5.6-6.3 G OSS + 1.4X Teleconverter,1000,840 mm,Flash did not fire,f/10.0,1/2000 sec,3995 pixels x 2663 pixels,5.81 MB,,,,,Bald Eagle,Haliaeetus leucocephalus,Sam  Eberhard,2022-07-14,2022,4.9,169,North America
535848441,OM-1,OLYMPUS M.100-400mm F5.0-6.3,400,400 mm,"Flash did not fire, red-eye reduction",f/8.0,1/1250 sec,2000 pixels x 1194 pixels,1.6 MB,,,,,Eastern Yellow Wagtail,Motacilla tschutschensis,Alex Colorado,2023-02-16,2023,4.9,30,Europe
248364381,NIKON D500,,800,600 mm,Flash did not fire,f/14.0,1/2000 sec,3441 pixels x 2294 pixels,3.48 MB,,,,,Gray Goshawk,Tachyspiza novaehollandiae,Ken Crawley,2020-07-09,2020,4.9,48,Australia
507191441,NIKON Z 9,VR 200-500mm f/5.6E,500,500 mm,Flash did not fire,f/6.3,1/2000 sec,3741 pixels x 2574 pixels,4.95 MB,,,,,Red-tailed Hawk,Buteo jamaicensis,Frederik Gustavsson,2022-11-24,2022,4.9,41,North America
182493621,NIKON D850,,400,500 mm,Flash did not fire,f/5.6,1/640 sec,1942 pixels x 1349 pixels,1.38 MB,,,,,Philadelphia Vireo,Vireo philadelphicus,Bill Thompson,2019-10-14,2019,4.9,87,North America
594411531,NIKON D850,200.0-500.0 mm f/5.6,140,500 mm,Flash did not fire,f/5.6,1/1000 sec,4600 pixels x 3286 pixels,9.1 MB,,,,,Common Merganser,Mergus merganser,Kevin Zhong,2023-07-15,2023,4.9,49,North America
