catalog_number,common_name,scientific_name,photographer,date,year,rating,num_ratings,location,normalized_rating
172132791,Sirkeer Malkoha,Taccocua leschenaultii,Karmannye Chaudhary,2019-08-12,2019,4.62,37,Asia,4.62
385284001,Ruddy-headed Goose,Chloephaga rubidiceps,Ricardo  Matus,2021-10-17,2021,4.62,34,South America,4.62
307433611,Dupont's Lark,Chersophilus duponti,Ricardo Rodríguez,2019-05-05,2019,4.62,34,Europe,4.62
501766351,Northern Wheatear,Oenanthe oenanthe,Ali Ragıp ERASLAN,2022-05-02,2022,4.62,34,Asia,4.62
22105461,Rüppell's Bustard,Heterotetrax rueppelii,John Fitzpatrick,2015-12-06,2015,4.62,21,Africa,4.62
141093561,Sulphur-crested Cockatoo,Cacatua galerita,Chris Barnes,2019-02-12,2019,4.76,33,Australia,4.62
374227091,Baer's Pochard,Aythya baeri,Tarik Hasan,2020-02-28,2020,4.62,53,Asia,4.62
90800291,Least Seedsnipe,Thinocorus rumicivorus,Vicente Pantoja Maggi,2017-07-02,2017,4.62,24,South America,4.62
486863,Andean Cock-of-the-rock,Rupicola peruvianus,Christopher M. Foito,2016-01-21,2016,4.62,26,South America,4.62
272801051,Southern Lapwing,Vanellus chilensis,Raul Aguero,2020-10-17,2020,4.62,37,South America,4.62
110045611,Aplomado Falcon,Falco femoralis,Tiago Rivadeo Pla,2018-08-06,2018,4.62,26,South America,4.62
344545781,Krüper's Nuthatch,Sitta krueperi,Nika Budagashvili,2021-06-02,2021,4.62,37,Asia,4.62
125164551,Crimson-headed Partridge,Haematortyx sanguiniceps,Zhong Ying Koay,2018-03-01,2018,4.62,26,Asia,4.62
456189081,Common Wood-Pigeon,Columba palumbus,Tomasz Gustyn,2022-05-30,2022,4.62,47,Europe,4.62
99705581,Alpine Swift,Tachymarptis melba,Alvaro Jaramillo,2018-05-11,2018,4.62,55,Europe,4.62
148982701,Eurasian Coot,Fulica atra,Johan Mellquist,2019-04-04,2019,4.62,26,Europe,4.62
347111631,Sooty Oystercatcher,Haematopus fuliginosus,Aidan Powell,2021-06-12,2021,4.62,24,Australia,4.62
547894071,Besra,Tachyspiza virgata,Fang-Shuo Hu,2023-03-19,2023,4.61,23,Asia,4.61
203531441,Bluethroat,Luscinia svecica,Stanislav Cherepushkin,2018-07-24,2018,4.61,36,Asia,4.61
159219421,Sooty Owl,Tyto tenebricosa,Cesar Puechmarin,2019-04-15,2019,4.61,33,Australia,4.61
200954631,Black Rail (Junin),Laterallus jamaicensis tuerosi,Pieter de Groot Boersma,2018-08-13,2018,4.61,23,South America,4.61
169167601,Crested Gallito,Rhinocrypta lanceolata,Sergio González Fabiano,2019-07-20,2019,4.61,31,South America,4.61
535654631,Jabiru,Jabiru mycteria,Giancarlo Vera,2023-02-12,2023,4.61,23,South America,4.61
608339485,Kangean Tit-Babbler,Mixornis prillwitzi,Cameron Rutt,2023-06-07,2023,4.61,64,Asia,4.61
371528411,Short-toed Snake-Eagle,Circaetus gallicus,Jonathan Perera,2021-09-20,2021,4.61,28,Europe,4.61
430560871,Gray-necked Rockfowl,Picathartes oreas,Alexis Lamek,2022-02-13,2022,4.61,23,Africa,4.61
204953881,Whiskered Tern,Chlidonias hybrida,Ciro De Simone,2017-06-25,2017,4.61,23,Europe,4.61
374138201,Eurasian Curlew,Numenius arquata,Grzegorz Burkowski,2021-10-01,2021,4.61,33,Europe,4.61
256685061,Roseate Tern,Sterna dougallii,Samuel  Patinha,2020-08-14,2020,4.61,28,Europe,4.61
58694811,Harpy Eagle,Harpia harpyja,Leon Moore,2017-05-13,2017,4.61,74,South America,4.61
212366601,Saddle-billed Stork,Ephippiorhynchus senegalensis,Tyler Davis,2020-02-26,2020,4.61,38,Africa,4.61
344743401,Rainbow Bee-eater,Merops ornatus,James Lambert,2021-06-03,2021,4.61,36,Australia,4.61
619039776,Gray Partridge,Perdix perdix,Piotr Pogoda,2024-05-14,2024,4.61,62,Europe,4.61
434495421,Eurasian Scops-Owl,Otus scops,Dimitrios Loukas,2022-04-11,2022,4.6,45,Europe,4.6
284437721,Ground Parrot (Eastern),Pezoporus wallicus wallicus,Cheryl and Graham Ponter,2020-12-01,2020,4.6,67,Australia,4.6
205254131,Eurasian Wryneck,Jynx torquilla,Kevin Agar,2016-04-11,2016,4.6,20,Africa,4.6
